,BookTitle,Author,Format,Published,ISBN,ASIN,Language,Total_Ratings,Reviews,Rating,Genres
0,Mortality,Kellie Sheridan,"280 pages, ebook","March 19, 2013 by Patchwork Press",9.78099E+12,,English,541 ratings,149 reviews,3.82,"['Zombies', 'Young Adult', 'Horror', 'Fantasy', 'Romance', 'Post Apocalyptic', 'Dystopia']"
1,Finnegans Wake,James Joyce,"628 pages, Paperback","November 4, 2002 by Faber & Faber",9780571217359 (ISBN10: 0571217354),571217354,English,"13,079 ratings","1,270 reviews",3.68,"['Fiction', 'Classics', 'Literature', 'Ireland', 'Irish Literature', 'Novels', 'Literary Fiction']"
2,Madame Bovary,Gustave Flaubert,"411 pages, Paperback","December 14, 1991 by Vintage",9780679736363 (ISBN10: 0679736360),679736360,English,"344,293 ratings","17,289 reviews",3.7,"['Fiction', 'Classics', 'France', 'Literature', 'French Literature', 'Romance', '19th Century']"
3,Skin Deep,J.M. Stone,"277 pages, Kindle Edition",25-Apr-13,,B00CJ1ICH6,English,"10,168 ratings",724 reviews,3.98,"['Romance', 'Contemporary Romance', 'Erotica', 'Contemporary', 'New Adult', 'Humor', 'Erotic Romance']"
4,What I Didn't Say,Keary Taylor,"336 pages, Paperback","April 28, 2012 by CreateSpace",9781475156454 (ISBN10: 1475156456),1475156456,English,"7,665 ratings",972 reviews,3.95,"['Young Adult', 'Romance', 'Contemporary', 'High School', 'New Adult', 'Fiction', 'Disability']"
5,The Claiming of Sleeping Beauty,A.N. Roquelaure,"174 pages, ebook","May 1, 1999 by Plume Books",9781440668289 (ISBN10: 1440668280),,English,"58,570 ratings","5,524 reviews",3.22,"['Erotica', 'Fantasy', 'Fiction', 'Romance', 'BDSM', 'Adult', 'Fairy Tales']"
6,بلد متعلم عليها,مصطفى شهيب,"208 pages, Paperback","January 1, 2010 by دار ابن النفيس للنشر والتوزيع",9.78978E+12,,,"1,346 ratings",223 reviews,2.84,[]
7,The Spy with the Red Balloon,Katherine Locke,"362 pages, Hardcover","October 2, 2018 by AW Teen",9780807529348 (ISBN10: 0807529346),807529346,English,788 ratings,130 reviews,3.92,"['Historical Fiction', 'Fantasy', 'Young Adult', 'LGBT', 'Historical', 'Queer', 'Fiction']"
8,"My Roommate's a Jock? Well, Crap!",Wade Kelly,"262 pages, ebook","December 31, 2012 by Dreamspinner Press",9781623802554 (ISBN10: 1623802555),B00AV53KII,English,"2,808 ratings",415 reviews,3.69,"['M M Romance', 'Romance', 'Contemporary', 'Sports', 'College', 'LGBT', 'New Adult']"
9,Marilee,Con Sellers,"484 pages, Paperback","April 1, 1978 by Pocket",9780671812119 (ISBN10: 0671812114),671812114,English,42 ratings,10 reviews,3.19,"['Historical Romance', 'Historical', 'Civil War', 'Romance', 'Westerns', 'Historical Fiction']"
10,Indestructible Object,Mary McCoy,"288 pages, Hardcover","June 15, 2021 by Simon Pulse",,,English,806 ratings,168 reviews,3.67,"['LGBT', 'Contemporary', 'Young Adult', 'Romance', 'Lesbian', 'Queer', 'Polyamory']"
11,His Roommate's Pleasure,Lana McGregor,"84 pages, ebook","July 1, 2013 by Carina Press",9781426895760 (ISBN10: 1426895763),,,"3,356 ratings",493 reviews,3.64,"['BDSM', 'M M Romance', 'Romance', 'Erotica', 'Contemporary', 'College', 'LGBT']"
12,Hell's Teeth,James Fahy,"382 pages, Kindle Edition","March 30, 2016 by Venture Press",,,English,771 ratings,186 reviews,4.17,"['Urban Fantasy', 'Fantasy', 'Horror', 'Vampires', 'Paranormal', 'Dystopia', 'Mystery']"
13,Autumn Storm,Lizzy Ford,"257 pages, Kindle Edition","November 23, 2012 by Captured Press",,B00AC3P58M,English,"1,835 ratings",132 reviews,4.25,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal Romance', 'Magic', 'Witches']"
14,The Professor's Daughter,Joann Sfar,"80 pages, Paperback","April 17, 2007 by First Second",9781596431300 (ISBN10: 159643130X),159643130X,English,"2,407 ratings",426 reviews,3.41,"['Graphic Novels', 'Comics', 'Fantasy', 'Historical Fiction', 'Fiction', 'Romance', 'Historical']"
15,Double Full,Kindle Alexander,"275 pages, ebook","October 8, 2013 by The Kindle Alexander Collection",9.78099E+12,,English,"7,393 ratings",952 reviews,4.01,"['M M Romance', 'Sports', 'Romance', 'Contemporary', 'Sports Romance', 'Contemporary Romance', 'LGBT']"
16,The Magic Fish,Trung Le Nguyen,"256 pages, Hardcover","October 13, 2020 by Random House Graphic",,,English,"26,494 ratings","4,996 reviews",4.51,"['Graphic Novels', 'LGBT', 'Young Adult', 'Queer', 'Comics', 'Fantasy', 'Fiction']"
17,Not Your Villain,C.B. Lee,"332 pages, ebook","October 5, 2017 by Duet Books",,,English,"2,649 ratings",508 reviews,3.85,"['Young Adult', 'LGBT', 'Fantasy', 'Science Fiction', 'Queer', 'Superheroes', 'Fiction']"
18,The Friendship Experiment,Erin Teagan,"272 pages, Kindle Edition","November 1, 2016 by HMH Books for Young Readers",9780544635371 (ISBN10: 054463537X),B01912OTVI,English,415 ratings,94 reviews,4.07,"['Middle Grade', 'Realistic Fiction', 'Fiction', 'Young Adult', 'Childrens', 'Juvenile', 'School']"
19,Sky Jumpers,Peggy Eddleman,"288 pages, Hardcover","September 24, 2013 by Random House Children's Books",9780307981271 (ISBN10: 0307981274),307981274,English,"1,768 ratings",351 reviews,3.99,"['Middle Grade', 'Science Fiction', 'Dystopia', 'Adventure', 'Fantasy', 'Young Adult', 'Post Apocalyptic']"
20,Isn't It Pretty To Think So?,Nick Miller,"375 pages, Paperback","June 11, 2012 by Fernando French Publishing",9780983896111 (ISBN10: 0983896119),983896119,English,875 ratings,100 reviews,3.74,"['Fiction', 'Contemporary', 'Young Adult', 'Coming Of Age', 'Literary Fiction', 'Novels']"
21,The Opportunist,Tarryn Fisher,"278 pages, Kindle Edition",14-Nov-11,,,English,"53,428 ratings","6,426 reviews",4.19,"['Romance', 'New Adult', 'Contemporary', 'Contemporary Romance', 'Adult', 'Drama', 'Fiction']"
22,How to Be Remy Cameron,Julian Winters,340 pages,"September 10, 2019 by Duet",,,English,"1,426 ratings",339 reviews,3.93,"['LGBT', 'Young Adult', 'Contemporary', 'Queer', 'Romance', 'Fiction', 'Gay']"
23,Starshine,G.S. Jennsen,"583 pages, ebook","March 23, 2014 by Hypernova Publishing",9.781E+12,,English,"3,629 ratings",405 reviews,3.93,"['Science Fiction', 'Space Opera', 'Romance', 'Fiction', 'Space', 'Aliens', 'Audiobook']"
24,The White Man's Burden,Rudyard Kipling,1 pages,"January 1, 1899",,,English,268 ratings,66 reviews,2.14,"['Poetry', 'Classics', 'School', 'Historical', 'History', 'Read For School', 'Nonfiction']"
25,Dracula Unbound,Brian W. Aldiss,"238 pages, Paperback","July 1, 2001 by House of Stratus Ltd",9780755100781 (ISBN10: 0755100786),755100786,English,338 ratings,44 reviews,3.01,"['Horror', 'Science Fiction', 'Vampires', 'Fiction', 'Fantasy', 'Time Travel', 'Novels']"
26,Princess Ben,Catherine Gilbert Murdock,"344 pages, Hardcover","January 1, 2008 by Houghton Mifflin Harcourt",9780618959716 (ISBN10: 0618959718),618959718,English,"18,052 ratings","1,371 reviews",3.75,"['Fantasy', 'Young Adult', 'Romance', 'Fairy Tales', 'Fiction', 'Magic', 'Adventure']"
27,Blue Bloods,Melissa de la Cruz,"302 pages, Hardcover","March 27, 2007 by Hyperion",9780786838929 (ISBN10: 0786838922),786838922,English,"142,406 ratings","5,251 reviews",3.7,"['Young Adult', 'Vampires', 'Fantasy', 'Paranormal', 'Romance', 'Fiction', 'Supernatural']"
28,Grrrls on the Side,Carrie Pack,"230 pages, Paperback","June 8, 2017 by Duet Books, the YA imprint of Interlude Press",9781945053214 (ISBN10: 1945053216),1945053216,English,167 ratings,71 reviews,3.5,"['Young Adult', 'LGBT', 'Fiction', 'Feminism', 'Historical Fiction', 'Queer', 'Teen']"
29,A Song for Bijou,Josh Farrar,"304 pages, Hardcover","February 12, 2013 by Walker Childrens",9780802733948 (ISBN10: 0802733948),802733948,English,508 ratings,93 reviews,3.91,"['Middle Grade', 'Romance', 'Realistic Fiction', 'Contemporary', 'Fiction', 'Young Adult', 'Cultural']"
30,Oryx and Crake,Margaret Atwood,"389 pages, Paperback","March 30, 2004 by Anchor Books",,B00BG7FJFC,English,"272,379 ratings","17,114 reviews",4.01,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Fantasy', 'Canada', 'Audiobook']"
31,What the Dog Said,Randi Reisfeld,"256 pages, Hardcover","February 28, 2012 by Bloomsbury USA Childrens",9781599907024 (ISBN10: 159990702X),159990702X,English,604 ratings,104 reviews,4.1,"['Dogs', 'Young Adult', 'Animals', 'Middle Grade', 'Fiction', 'Realistic Fiction', 'Family']"
32,"Where Mercy Is Shown, Mercy Is Given","Duane ""Dog"" Chapman","287 pages, Hardcover","March 16, 2010 by Hyperion",9781401323714 (ISBN10: 1401323715),1401323715,English,960 ratings,112 reviews,3.95,"['Biography', 'Nonfiction', 'Autobiography', 'Memoir', 'Family', 'Biography Memoir']"
33,Surrender Your Sons,Adam Sass,"422 pages, Hardcover","September 15, 2020 by Flux",9781635830613 (ISBN10: 1635830613),1635830613,English,"2,828 ratings",775 reviews,4.01,"['Young Adult', 'LGBT', 'Thriller', 'Contemporary', 'Queer', 'Mystery', 'Fiction']"
34,A Matter of Magic,Patricia C. Wrede,"448 pages, Paperback","June 8, 2010 by Orb Books",9780765326324 (ISBN10: 0765326329),765326329,English,"5,199 ratings",465 reviews,4.01,"['Fantasy', 'Young Adult', 'Magic', 'Historical Fiction', 'Romance', 'Historical', 'Fiction']"
35,Reflected in You,Sylvia Day,"353 pages, Kindle Edition","February 1, 2023 by Berkley",,B008673ZAQ,English,"355,322 ratings","11,562 reviews",4.3,"['Romance', 'Erotica', 'Contemporary Romance', 'Contemporary', 'Adult', 'Erotic Romance', 'Fiction']"
36,Torment,Lauren Kate,"452 pages, Hardcover","September 28, 2010 by Delacorte Press",9780385739146 (ISBN10: 0385739141),385739141,English,"238,008 ratings","8,629 reviews",3.84,"['Young Adult', 'Fantasy', 'Romance', 'Angels', 'Paranormal', 'Paranormal Romance', 'Supernatural']"
37,Fat Zombie: Stories of Unlikely Survivors from the Apocalypse,Paul Mannering,"170 pages, Kindle Edition","January 25, 2015 by Permuted Press",9781618684370 (ISBN10: 161868437X),B00SS5TKCS,English,19 ratings,2 reviews,3.84,['Zombies']
38,Chasing the Prophecy,Brandon Mull,Hardcover,"March 12, 2013 by Aladdin",,,English,"22,082 ratings","1,435 reviews",4.38,"['Fantasy', 'Young Adult', 'Middle Grade', 'Fiction', 'Adventure', 'Magic', 'Audiobook']"
